"site","scale","area.Arable and horticulture","area.Broadleaf woodland","area.Coniferous woodland","area.Improved grassland"
"ST7594432694",1500,0.0510707568599914,0.226508073133969,0.213190061883862,0.475163313739886
"ST7594434974",1500,0.269624293679234,0.143644226671288,0.348546299926713,0.214288730390592
"ST7489834968",1500,0.0782309794972861,0.148831058601328,0.456008859872387,0.310204717651432
"ST7510434914",1500,0.100325179033769,0.142706934097765,0.47843021338286,0.260462353849826
"ST7564432754",1500,0.0154557714539829,0.237727202992309,0.271978189579884,0.445633840344391
"ST7516434914",1500,0.110036491446244,0.139897741018409,0.481210539018468,0.248715831419123
"ST7570432754",1500,0.0195931094299863,0.234017173676536,0.266322335967756,0.449530327699465
"ST7570435094",1500,0.240306439345944,0.132608331000355,0.42315715273216,0.181983778441826
"ST7576435094",1500,0.250969723832856,0.131822425779483,0.410986482404874,0.184277069503073
"ST7581632758",1500,0.0331267953047449,0.228098291144236,0.250671542478658,0.455477635666443
"ST7582432754",1500,0.0342512226482013,0.227764098172081,0.248766434409498,0.456406600234414
"ST7498435034",1500,0.0927656387979111,0.139798107132556,0.460517496068287,0.298305571106575
"ST7522435034",1500,0.133306126978399,0.128597482867268,0.475439731700872,0.245088544856268
"ST7576435034",1500,0.246370481740413,0.135716176795896,0.406351754285725,0.189617288698252
"ST7582435034",1500,0.256187025742195,0.136086567741335,0.391040365907783,0.194716079561658
"ST7588435034",1500,0.265527911176362,0.136312258976822,0.373706546077338,0.202045927873404
"ST7607132839",1500,0.0768656860674226,0.229258787507004,0.201526138687169,0.455741408026349
"ST7612432874",1500,0.0868153700592921,0.228836948768947,0.19468320765464,0.451420635806327
"ST7486435025",1500,0.0786955602179933,0.142961634720591,0.450191345125795,0.324517630375969
"ST7426435814",1500,0.0682126152428192,0.0823278139094301,0.240659577274061,0.60879999357369
"ST7420435754",1500,0.0632402893620933,0.0883446887874362,0.236300909025776,0.612114112824695
"ST7426435754",1500,0.0665646588258802,0.0882769224656031,0.248791539213188,0.596366879495329
"ST7576432814",1500,0.0263778508001767,0.230286862882284,0.262900055968831,0.448805519080072
"ST7426435694",1500,0.0662360757419818,0.0941007068584193,0.257701790276483,0.581961427123116
"ST7420435574",1500,0.0621627485232385,0.101572937575234,0.263022766275214,0.573241547626313
"ST7420435514",1500,0.0616026082635781,0.103005680623567,0.270010625627521,0.565381085485334
"ST7546432934",1500,0.0126820468549294,0.239182461141839,0.308015540168913,0.410985315190545
"ST7558435094",1500,0.216734638635971,0.130968313994729,0.442473484508213,0.187887412846269
"ST7564435094",1500,0.228629932556489,0.133066738771901,0.433224936490142,0.183134093701754
"ST7474435994",1500,0.121973455188934,0.0904177489218265,0.306157507740999,0.481451288148241
"ST7480435994",1500,0.132070727802642,0.09257516421263,0.315053001589806,0.460301106394923
"ST7486435994",1500,0.142041798915047,0.0944572447281444,0.323459771803339,0.440041184553469
"ST7570432874",1500,0.0201673083161513,0.233034725680657,0.275074847584696,0.441663705376039
"ST7492435994",1500,0.152629418459778,0.0963967017714124,0.330681705468368,0.420292174300441
"ST7576432874",1500,0.0265278365796476,0.231452699150491,0.267432305364927,0.442925472218618
"ST7498435994",1500,0.16298964106345,0.097261423781664,0.337604133701954,0.402144801452931
"ST7582432874",1500,0.034286576070536,0.229237179484224,0.259497404983648,0.444004031020395
"ST7504435994",1500,0.173461295111844,0.0970890771596663,0.34380066678184,0.38564896094665
"ST7570433114",1500,0.0169206156058275,0.246042328790345,0.309745030262468,0.396508024785901
"ST7468435934",1500,0.110466563484271,0.0900710294028119,0.30441054656124,0.495051860551677
"ST7474435934",1500,0.117801576772257,0.0917318961710987,0.314305429791463,0.476161097265181
"ST7522436114",1500,0.209865653298645,0.0908916507823237,0.34090410366536,0.358338592253671
"ST7480436054",1500,0.134524423086371,0.092911130656489,0.306044409605511,0.46652003665163
"ST7486436054",1500,0.145711344378222,0.0946344344016645,0.314056617865137,0.445597603354976
"ST7492436054",1500,0.156779212232893,0.0960722002254698,0.321436360401506,0.425712227140131
"ST7576533004",1500,0.025575496796029,0.238455840291687,0.283315740588172,0.421290200487541
"ST7576432994",1500,0.0256214757598803,0.237928545642856,0.281810695601994,0.423287626794769
"ST7498436054",1500,0.167520803956611,0.0968873280949573,0.32774467462571,0.407847193322722
"ST7504436054",1500,0.178027372191437,0.0963961995530029,0.333811454767142,0.391764973488419
"ST7516436054",1500,0.196937587958201,0.0950650821854695,0.344342923654076,0.363654406202253
"ST7468435994",1500,0.113671932433204,0.0883921431309971,0.296706672430747,0.501229252005052
"ST7522433294",1500,0.0204290862632698,0.22260791697878,0.370535694043514,0.363048594491996
"ST7498436174",1500,0.171354757762786,0.0928455465436835,0.31326751137815,0.42253218431538
"ST7516436174",1500,0.202665185103756,0.089199347111869,0.330135905806508,0.377999561977867
"ST7528433234",1500,0.0167830694701036,0.227723860161129,0.362754433774578,0.367209549945247
"ST7486436114",1500,0.14762156636093,0.0938268675486883,0.305044641679675,0.453506924410707
"ST7492436114",1500,0.15884801757742,0.0948424385529891,0.312176491167993,0.434133052701599
"ST7498436114",1500,0.169937700147844,0.0956093467074302,0.31872575809265,0.415727195052076
"ST7600032936",3000,0.204228733663957,0.140374134360843,0.154056847117293,0.466000528979221
"ST7594132635",3000,0.17302110173743,0.138757080942922,0.150535004765619,0.500787499737478
"ST7558533053",3000,0.168463817025874,0.141155065280491,0.163924440740453,0.498723020350669
"ST7563133004",3000,0.170246904349542,0.141038265065626,0.160715014717301,0.497641318379702
"ST7599532629",3000,0.178451241486861,0.137610436337825,0.150077771065935,0.496954547456246
"ST7611032751",3000,0.203085518168002,0.137384392202135,0.150850227286249,0.472545015897107
"ST7516133894",3000,0.140240511892283,0.136547058642233,0.189527743361414,0.517240176193241
"ST7492533597",3000,0.120226551624959,0.136681721799617,0.187026208422925,0.539553547244565
"ST7455135810",3000,0.118935431237041,0.100271422743916,0.179831186660349,0.58957008592843
"ST7460735809",3000,0.120240903074695,0.102342272418789,0.180519434628539,0.585231299152268
"ST7546033171",3000,0.160721646141175,0.140529716953917,0.172612215446935,0.504404357994296
"ST7546733054",3000,0.155751306685874,0.140630735451735,0.165603591488911,0.513035958289617
"ST7533433668",3000,0.155070047204401,0.137660870980208,0.189003411332162,0.500302465975116
"ST7546033412",3000,0.166888169596517,0.140580118952381,0.18502663350442,0.487628897335157
